miRNA,abs_coef
hsa-mir-1273c,0.011438694995756551
hsa-mir-7641-2,0.009710740362782955
hsa-mir-6087,0.0029779800156275104
hsa-mir-4453,0.0
hsa-mir-6767,0.0
hsa-mir-4423,0.0
hsa-mir-4536-1,0.0
hsa-mir-621,0.0
hsa-mir-5090,0.0
hsa-mir-3151,0.0
hsa-mir-6777,0.0
hsa-mir-6808,0.0
hsa-mir-3621,0.0
hsa-mir-1293,0.0
hsa-mir-1246,0.0
hsa-mir-3188,0.0
hsa-mir-567,0.0
hsa-mir-378d-1,0.0
hsa-mir-5006,0.0
hsa-mir-4652,0.0
hsa-mir-4520-2,0.0
hsa-mir-609,0.0
hsa-mir-6860,0.0
hsa-mir-7112,0.0
hsa-mir-6748,0.0
hsa-mir-4425,0.0
hsa-mir-3923,0.0
hsa-mir-3919,0.0
hsa-mir-449a,0.0
hsa-mir-3156-3,0.0
hsa-mir-4444-1,0.0
hsa-mir-3160-2,0.0
hsa-mir-320d-2,0.0
hsa-mir-6882,0.0
hsa-mir-6774,0.0
hsa-mir-612,0.0
hsa-mir-3910-1,0.0
hsa-mir-4756,0.0
hsa-mir-1539,0.0
hsa-mir-3117,0.0
hsa-mir-4537,0.0
hsa-mir-631,0.0
hsa-mir-4796,0.0
hsa-mir-4794,0.0
hsa-mir-5009,0.0
hsa-mir-6864,0.0
hsa-mir-4687,0.0
hsa-mir-3942,0.0
hsa-mir-548d-2,0.0
hsa-mir-3202-2,0.0
hsa-mir-614,0.0
hsa-mir-7850,0.0
hsa-mir-6874,0.0
hsa-mir-765,0.0
hsa-mir-3193,0.0
hsa-mir-4651,0.0
hsa-mir-7106,0.0
hsa-mir-3115,0.0
hsa-mir-3929,0.0
hsa-mir-4645,0.0
hsa-mir-4665,0.0
hsa-mir-7845,0.0
hsa-mir-7-3,0.0
hsa-mir-2681,0.0
hsa-mir-3125,0.0
hsa-mir-4424,0.0
hsa-mir-6772,0.0
hsa-mir-4693,0.0
hsa-mir-4738,0.0
hsa-mir-4733,0.0
hsa-mir-1275,0.0
hsa-mir-4715,0.0
hsa-mir-4712,0.0
hsa-mir-4716,0.0
hsa-mir-6726,0.0
hsa-mir-7155,0.0
hsa-mir-4776-2,0.0
hsa-mir-4781,0.0
hsa-mir-5091,0.0
hsa-mir-4513,0.0
hsa-mir-6865,0.0
hsa-mir-518d,0.0
hsa-mir-517c,0.0
hsa-mir-320c-1,0.0
hsa-mir-3921,0.0
hsa-mir-4648,0.0
hsa-mir-4694,0.0
hsa-mir-4689,0.0
hsa-mir-7853,0.0
hsa-mir-3609,0.0
hsa-mir-6747,0.0
hsa-mir-526a-2,0.0
hsa-mir-3680-1,0.0
hsa-mir-6789,0.0
hsa-mir-6507,0.0
hsa-mir-6749,0.0
hsa-mir-1237,0.0
hsa-mir-6731,0.0
hsa-mir-3154,0.0
hsa-mir-544a,0.0
hsa-mir-4684,0.0
hsa-mir-514a-2,0.0
hsa-mir-1229,0.0
hsa-mir-4788,0.0
hsa-mir-4737,0.0
hsa-mir-4709,0.0
hsa-mir-7156,0.0
hsa-mir-3619,0.0
hsa-mir-571,0.0
hsa-mir-526b,0.0
hsa-mir-3926-1,0.0
hsa-mir-3175,0.0
hsa-mir-5094,0.0
hsa-mir-5680,0.0
hsa-mir-4766,0.0
hsa-mir-618,0.0
hsa-mir-4458,0.0
hsa-mir-3186,0.0
hsa-mir-124-2,0.0
hsa-mir-329-2,0.0
hsa-mir-6872,0.0
hsa-mir-3681,0.0
hsa-mir-1290,0.0
hsa-mir-2117,0.0
hsa-mir-3144,0.0
hsa-mir-449b,0.0
hsa-mir-6516,0.0
hsa-mir-3178,0.0
hsa-mir-1185-1,0.0
hsa-mir-7973-1,0.0
hsa-mir-6851,0.0
hsa-mir-6888,0.0
hsa-mir-138-2,0.0
hsa-mir-6875,0.0
hsa-mir-8077,0.0
hsa-mir-1238,0.0
hsa-mir-3191,0.0
hsa-mir-548aq,0.0
hsa-mir-6852,0.0
hsa-mir-5692c-2,0.0
hsa-mir-3139,0.0
hsa-mir-586,0.0
hsa-mir-6775,0.0
hsa-mir-1250,0.0
hsa-mir-4433a,0.0
hsa-mir-6769b,0.0
hsa-mir-3180-4,0.0
hsa-mir-6741,0.0
hsa-mir-519a-2,0.0
hsa-mir-520g,0.0
hsa-mir-3660,0.0
hsa-mir-6728,0.0
hsa-mir-548y,0.0
hsa-mir-6780a,0.0
hsa-mir-4666b,0.0
hsa-mir-599,0.0
hsa-mir-4760,0.0
hsa-mir-922,0.0
hsa-mir-548ab,0.0
hsa-mir-4501,0.0
hsa-mir-663b,0.0
hsa-mir-516b-1,0.0
hsa-mir-6502,0.0
hsa-mir-3915,0.0
hsa-mir-892b,0.0
hsa-mir-5572,0.0
hsa-mir-4437,0.0
hsa-mir-3907,0.0
hsa-mir-4420,0.0
hsa-mir-3145,0.0
hsa-mir-548ar,0.0
hsa-mir-876,0.0
hsa-mir-4650-1,0.0
hsa-mir-548x,0.0
hsa-mir-6876,0.0
hsa-mir-4523,0.0
hsa-mir-3171,0.0
hsa-mir-4720,0.0
hsa-mir-1260b,0.0
hsa-mir-606,0.0
hsa-mir-519b,0.0
hsa-mir-6780b,0.0
hsa-mir-6129,0.0
hsa-mir-1912,0.0
hsa-mir-4662b,0.0
hsa-mir-4697,0.0
hsa-mir-6880,0.0
hsa-mir-6786,0.0
hsa-mir-3163,0.0
hsa-mir-933,0.0
hsa-mir-181c,0.0
hsa-mir-181b-2,0.0
hsa-mir-5100,0.0
hsa-mir-5689,0.0
hsa-mir-548f-1,0.0
hsa-mir-7109,0.0
hsa-mir-6846,0.0
hsa-mir-3925,0.0
hsa-mir-5681a,0.0
hsa-mir-4671,0.0
hsa-mir-448,0.0
hsa-mir-7843,0.0
hsa-mir-602,0.0
hsa-mir-6500,0.0
hsa-mir-5047,0.0
hsa-mir-5196,0.0
hsa-mir-3137,0.0
hsa-mir-524,0.0
hsa-mir-4785,0.0
hsa-mir-6814,0.0
hsa-mir-520e,0.0
hsa-mir-3122,0.0
hsa-mir-664b,0.0
hsa-mir-7852,0.0
hsa-mir-3911,0.0
