miRNA,importance
hsa-mir-4756,0.035714287
hsa-mir-7976,0.035714287
hsa-mir-7-2,0.023809524
hsa-mir-499a,0.011904762
hsa-mir-4782,0.011904762
hsa-mir-4639,0.011904762
hsa-mir-548at,0.011904762
hsa-mir-6811,0.011904762
hsa-mir-548ag-2,0.011904762
hsa-mir-7973-2,0.011904762
hsa-mir-1199,0.0
hsa-mir-7849,0.0
hsa-mir-3685,0.0
hsa-mir-4693,0.0
hsa-mir-596,0.0
hsa-mir-3169,0.0
hsa-mir-6869,0.0
hsa-mir-1912,0.0
hsa-mir-4516,0.0
hsa-mir-6770-1,0.0
hsa-mir-4528,0.0
hsa-mir-1322,0.0
hsa-mir-4420,0.0
hsa-mir-5194,0.0
hsa-mir-6881,0.0
hsa-mir-5196,0.0
hsa-mir-4498,0.0
hsa-mir-5705,0.0
hsa-mir-4698,0.0
hsa-mir-936,0.0
hsa-mir-6863,0.0
hsa-mir-567,0.0
hsa-mir-4803,0.0
hsa-mir-5692c-1,0.0
hsa-mir-6861,0.0
hsa-mir-3689a,0.0
hsa-mir-208b,0.0
hsa-mir-610,0.0
hsa-mir-4774,0.0
hsa-mir-892b,0.0
hsa-mir-6789,0.0
hsa-mir-3142,0.0
hsa-mir-4538,0.0
hsa-mir-4656,0.0
hsa-mir-510,0.0
hsa-mir-548ag-1,0.0
hsa-mir-4778,0.0
hsa-mir-6084,0.0
hsa-mir-635,0.0
hsa-mir-3914-1,0.0
hsa-mir-7847,0.0
hsa-mir-4437,0.0
hsa-mir-8085,0.0
hsa-mir-3661,0.0
hsa-mir-4457,0.0
hsa-mir-4452,0.0
hsa-mir-4769,0.0
hsa-mir-6872,0.0
hsa-mir-3181,0.0
hsa-mir-6890,0.0
hsa-mir-548ah,0.0
hsa-mir-4729,0.0
hsa-mir-6512,0.0
hsa-mir-208a,0.0
hsa-mir-5195,0.0
hsa-mir-3923,0.0
hsa-mir-2467,0.0
hsa-mir-3122,0.0
hsa-mir-3675,0.0
hsa-mir-6864,0.0
hsa-mir-513b,0.0
hsa-mir-4532,0.0
hsa-mir-891b,0.0
hsa-mir-4419b,0.0
hsa-mir-1257,0.0
hsa-mir-5189,0.0
hsa-mir-4284,0.0
hsa-mir-3163,0.0
hsa-mir-892c,0.0
hsa-mir-4644,0.0
hsa-mir-4692,0.0
hsa-mir-4666b,0.0
hsa-mir-617,0.0
hsa-mir-3184,0.0
hsa-mir-4539,0.0
hsa-mir-626,0.0
hsa-mir-554,0.0
hsa-mir-1206,0.0
hsa-mir-4468,0.0
hsa-mir-4737,0.0
hsa-mir-4465,0.0
hsa-mir-663b,0.0
hsa-mir-5197,0.0
hsa-mir-378e,0.0
hsa-mir-4321,0.0
hsa-mir-761,0.0
hsa-mir-4259,0.0
hsa-mir-4304,0.0
hsa-mir-6759,0.0
hsa-mir-7108,0.0
hsa-mir-514a-2,0.0
hsa-mir-1-1,0.0
