miRNA,importance
hsa-mir-4524a,0.015503876
hsa-mir-4730,0.007751938
hsa-mir-770,0.007751938
hsa-mir-3115,0.003875969
hsa-mir-4474,0.003875969
hsa-mir-3939,0.003875969
hsa-mir-525,0.003875969
hsa-mir-3591,0.0
hsa-mir-3663,0.0
hsa-mir-6077,0.0
hsa-mir-936,0.0
hsa-mir-526a-1,0.0
hsa-mir-5011,0.0
hsa-mir-3180-1,0.0
hsa-mir-7977,0.0
hsa-mir-892c,0.0
hsa-mir-510,0.0
hsa-mir-4464,0.0
hsa-mir-4284,0.0
hsa-mir-640,0.0
hsa-mir-638,0.0
hsa-mir-448,0.0
hsa-mir-4436b-1,0.0
hsa-mir-7704,0.0
hsa-mir-606,0.0
hsa-mir-5692a-2,0.0
hsa-mir-4693,0.0
hsa-mir-3689a,0.0
hsa-mir-892b,0.0
hsa-mir-4803,0.0
hsa-mir-4737,0.0
hsa-mir-208b,0.0
hsa-mir-7847,0.0
hsa-mir-3960,0.0
hsa-mir-4436b-2,0.0
hsa-mir-5195,0.0
hsa-mir-4428,0.0
hsa-mir-4465,0.0
hsa-mir-4438,0.0
hsa-mir-4538,0.0
hsa-mir-513b,0.0
hsa-mir-518d,0.0
hsa-mir-762,0.0
hsa-mir-8071-1,0.0
hsa-mir-4764,0.0
hsa-mir-124-1,0.0
hsa-mir-513a-2,0.0
hsa-mir-645,0.0
hsa-mir-6881,0.0
hsa-mir-5196,0.0
hsa-mir-1289-2,0.0
hsa-mir-4719,0.0
hsa-mir-3659,0.0
hsa-mir-7850,0.0
hsa-mir-208a,0.0
hsa-mir-1257,0.0
hsa-mir-124-3,0.0
hsa-mir-5004,0.0
hsa-mir-124-2,0.0
hsa-mir-1302-3,0.0
hsa-mir-3180-2,0.0
hsa-mir-4419b,0.0
hsa-mir-3914-1,0.0
hsa-mir-4450,0.0
hsa-mir-6770-1,0.0
hsa-mir-567,0.0
hsa-mir-8059,0.0
hsa-mir-513a-1,0.0
hsa-mir-3142,0.0
hsa-mir-4439,0.0
hsa-mir-891b,0.0
hsa-mir-7852,0.0
hsa-mir-4432,0.0
hsa-mir-548ag-1,0.0
hsa-mir-4769,0.0
hsa-mir-7973-1,0.0
hsa-mir-3171,0.0
hsa-mir-892a,0.0
hsa-mir-378b,0.0
hsa-mir-4321,0.0
hsa-mir-4441,0.0
hsa-mir-3978,0.0
hsa-mir-4314,0.0
hsa-mir-3674,0.0
hsa-mir-4296,0.0
hsa-mir-325,0.0
hsa-mir-422a,0.0
hsa-mir-3122,0.0
hsa-mir-6859-4,0.0
hsa-mir-1244-4,0.0
hsa-mir-626,0.0
hsa-mir-1206,0.0
hsa-mir-6070,0.0
hsa-mir-553,0.0
hsa-mir-2909,0.0
hsa-mir-5704,0.0
hsa-mir-4292,0.0
hsa-mir-4679-2,0.0
hsa-mir-7108,0.0
hsa-mir-302b,0.0
hsa-mir-520e,0.0
hsa-mir-4667,0.0
hsa-mir-7-2,0.0
hsa-mir-3935,0.0
hsa-mir-3660,0.0
hsa-mir-378e,0.0
hsa-mir-7843,0.0
hsa-mir-6756,0.0
hsa-mir-518f,0.0
hsa-mir-6813,0.0
hsa-mir-5700,0.0
hsa-mir-4304,0.0
hsa-mir-3185,0.0
hsa-mir-571,0.0
hsa-mir-876,0.0
hsa-mir-8066,0.0
hsa-mir-548ap,0.0
hsa-mir-548p,0.0
hsa-mir-451b,0.0
hsa-mir-8076,0.0
hsa-mir-3147,0.0
hsa-mir-548a-2,0.0
hsa-mir-4718,0.0
hsa-mir-761,0.0
hsa-mir-6129,0.0
hsa-mir-3689e,0.0
hsa-mir-378h,0.0
hsa-mir-3169,0.0
hsa-mir-5192,0.0
hsa-mir-211,0.0
hsa-mir-3621,0.0
hsa-mir-3141,0.0
hsa-mir-548am,0.0
hsa-mir-1184-1,0.0
hsa-mir-3689b,0.0
hsa-mir-601,0.0
hsa-mir-8069-1,0.0
hsa-mir-548an,0.0
hsa-mir-4278,0.0
hsa-mir-5197,0.0
hsa-mir-548f-5,0.0
hsa-mir-4534,0.0
hsa-mir-4263,0.0
hsa-mir-4663,0.0
hsa-mir-6719,0.0
hsa-mir-378j,0.0
hsa-mir-4468,0.0
hsa-mir-4527,0.0
hsa-mir-1972-1,0.0
hsa-mir-3689f,0.0
hsa-mir-3180-3,0.0
hsa-mir-604,0.0
hsa-mir-1197,0.0
hsa-mir-518c,0.0
hsa-mir-3164,0.0
hsa-mir-4705,0.0
hsa-mir-548at,0.0
hsa-mir-3656,0.0
hsa-mir-3684,0.0
hsa-mir-548ab,0.0
hsa-mir-4452,0.0
hsa-mir-6742,0.0
hsa-mir-133b,0.0
hsa-mir-346,0.0
hsa-mir-5584,0.0
hsa-mir-6880,0.0
hsa-mir-1303,0.0
hsa-mir-6883,0.0
hsa-mir-5189,0.0
hsa-mir-6715b,0.0
hsa-mir-7157,0.0
hsa-mir-4539,0.0
hsa-mir-4433a,0.0
hsa-mir-519d,0.0
hsa-mir-5095,0.0
hsa-mir-4679-1,0.0
hsa-mir-4729,0.0
hsa-mir-526a-2,0.0
hsa-mir-3183,0.0
hsa-mir-4757,0.0
hsa-mir-5583-1,0.0
hsa-mir-548ag-2,0.0
hsa-mir-4682,0.0
hsa-mir-4451,0.0
hsa-mir-4686,0.0
hsa-mir-657,0.0
hsa-mir-8085,0.0
hsa-mir-506,0.0
hsa-mir-4634,0.0
hsa-mir-548a-1,0.0
hsa-mir-3201,0.0
hsa-mir-3180-5,0.0
hsa-mir-583,0.0
hsa-mir-613,0.0
hsa-mir-3119-1,0.0
hsa-mir-5191,0.0
hsa-mir-1299,0.0
hsa-mir-3162,0.0
hsa-mir-4782,0.0
hsa-mir-516b-1,0.0
hsa-mir-518e,0.0
hsa-mir-4433b,0.0
hsa-mir-541,0.0
hsa-mir-6770-3,0.0
hsa-mir-1-2,0.0
hsa-mir-662,0.0
hsa-mir-4636,0.0
hsa-mir-6754,0.0
hsa-mir-596,0.0
hsa-mir-498,0.0
hsa-mir-5689,0.0
hsa-mir-6831,0.0
hsa-mir-138-1,0.0
hsa-mir-4799,0.0
hsa-mir-3923,0.0
hsa-mir-8055,0.0
hsa-mir-7151,0.0
hsa-mir-3668,0.0
hsa-mir-663b,0.0
hsa-mir-637,0.0
hsa-mir-3672,0.0
hsa-mir-1184-3,0.0
hsa-mir-5007,0.0
hsa-mir-8086,0.0
hsa-mir-6079,0.0
hsa-mir-1244-1,0.0
hsa-mir-4430,0.0
hsa-mir-4655,0.0
hsa-mir-520c,0.0
hsa-mir-7853,0.0
hsa-mir-941-1,0.0
hsa-mir-520d,0.0
hsa-mir-3144,0.0
hsa-mir-4435-1,0.0
hsa-mir-4761,0.0
hsa-mir-514b,0.0
hsa-mir-6872,0.0
hsa-mir-5707,0.0
hsa-mir-378i,0.0
hsa-mir-4778,0.0
hsa-mir-3196,0.0
hsa-mir-6778,0.0
hsa-mir-1199,0.0
hsa-mir-4653,0.0
hsa-mir-3135a,0.0
hsa-mir-4656,0.0
hsa-mir-6869,0.0
hsa-mir-7849,0.0
hsa-mir-5100,0.0
hsa-mir-519e,0.0
hsa-mir-4520-1,0.0
hsa-mir-4776-2,0.0
hsa-mir-4530,0.0
hsa-mir-1272,0.0
hsa-mir-3189,0.0
hsa-mir-7160,0.0
hsa-mir-3937,0.0
hsa-mir-4498,0.0
hsa-mir-3675,0.0
hsa-mir-3195,0.0
hsa-mir-4489,0.0
hsa-mir-1244-2,0.0
hsa-mir-5682,0.0
hsa-mir-6721,0.0
hsa-mir-4744,0.0
hsa-mir-3145,0.0
hsa-mir-3182,0.0
hsa-mir-2278,0.0
hsa-mir-523,0.0
hsa-mir-4748,0.0
hsa-mir-3165,0.0
hsa-mir-888,0.0
hsa-mir-449c,0.0
hsa-mir-137,0.0
